date,all_auc,recall,precision,loss_average,acc_average,f1
2019-07-26,0.980673323567339,0.16921141297394124,0.65518949715135,0.018154301774480942,0.9747779993661518,0.2689602576052877
2019-07-27,0.9830862386774154,0.18866394771755687,0.6068916462499012,0.016904732435541785,0.9758020116739553,0.2878455627401368
2019-07-28,0.9686029518133142,0.39063004846526656,0.4883861846091699,0.028437516105267867,0.9790057628326996,0.43407234539089845
2019-07-29,0.9830862386774154,0.18866394771755687,0.6068916462499012,0.016904732435541785,0.9758020116739553,0.2878455627401368
2019-07-30,0.9746109066345733,0.061233290211297975,0.6316725978647687,0.019956075779679575,0.9783759114356165,0.1116439971695888
2019-07-31,0.9748290870217433,0.1646522763254431,0.5495553550715299,0.021046448318325923,0.9819825431718255,0.25338721178987406
2019-08-01,0.9876976275898015,0.5557564798071127,0.6885735623599701,0.01411609626540948,0.9883734215847106,0.6150767178118746
2019-08-02,0.9785656582072711,0.4398258115597783,0.7476446837146703,0.01669924357405964,0.9889258774630542,0.5538384845463609
2019-08-03,0.9670267204834163,0.32634032634032634,0.6075949367088608,0.021552362284429753,0.9844082882661422,0.42461771767976747
2019-08-04,0.9826650265073922,0.5483201990875155,0.6298237255836112,0.018033956635219194,0.9882327741219525,0.5862527716186252
2019-08-05,0.970374423431139,0.1896301667875272,0.7376586741889986,0.01825091748468031,0.988265137006482,0.30170175944620714
2019-08-06,0.9810572090432731,0.3890284757118928,0.781986531986532,0.01716155594129392,0.9890235765124555,0.5195749440715884
2019-08-07,0.9702743684561819,0.3831549879185364,0.6180400890868597,0.022648111658122073,0.9882049374236874,0.4730449605795866
2019-08-08,0.974049047233435,0.4673330953230989,0.6831941544885177,0.019249951920079292,0.987395191665874,0.5550137799448802
2019-08-09,0.9676712385741084,0.35749751737835156,0.6981254040077569,0.02039893843469468,0.9841040290635208,0.4728546409807356
2019-08-10,0.9696532582353218,0.3659484281172731,0.6815789473684211,0.01869096216450991,0.984969595704545,0.4762123649735693
2019-08-11,0.9726781948327491,0.4687611567297394,0.5893177737881508,0.02082124446104276,0.9875404094827587,0.5221714058460927
2019-08-12,0.9759394097803615,0.42606516290726815,0.5286539315859617,0.02084992192580878,0.9846380471380471,0.471847739888977
