date,all_auc,recall,precision,loss_average,acc_average,f1
2019-07-26,0.9822660388783018,0.22215582918969676,0.6344079468584314,0.017493270293874194,0.974981428086452,0.3290763102990453
2019-07-27,0.9836461863942229,0.21749594773810108,0.6127023661270237,0.016662346350794804,0.9759999342072977,0.321032407743058
2019-07-28,0.9611213973147185,0.14866637516397027,0.4187192118226601,0.02426984204701569,0.978349697993798,0.21942562116811876
2019-07-29,0.9609048520497664,0.06479113384484228,0.596078431372549,0.022042308019865016,0.9838760610347616,0.11687812379853903
2019-07-30,0.9734202566919922,0.11124770840073331,0.6046893317702228,0.02006680411529323,0.9785704858143378,0.1879223973039439
2019-07-31,0.9769360382892305,0.18368569551269665,0.5872721655854186,0.019852678867188587,0.9823711435929954,0.27984278164608206
2019-08-01,0.9847145748757555,0.3439928272564256,0.6778563015312132,0.015017773309970648,0.9867040402719666,0.4563838223632039
2019-08-02,0.9745903674128622,0.16191607284243864,0.557980900409277,0.01655718400810993,0.9857941425492611,0.25099723841669225
2019-08-03,0.962596435221423,0.10314685314685315,0.5042735042735043,0.019969059698307586,0.9829021113036108,0.17126269956458637
2019-08-04,0.9617072329684213,0.08200734394124846,0.5167095115681234,0.020321616696377966,0.984625610181311,0.1415492957746479
2019-08-05,0.9595027536565859,0.06628033321260413,0.42757009345794394,0.020062380625753023,0.986422445524146,0.1147695202257761
2019-08-06,0.9584667266445637,0.07272727272727272,0.4411764705882353,0.020793987834884908,0.9851454098883471,0.12486992715920914
2019-08-07,0.9498045635513638,0.06880108991825613,0.3968565815324165,0.02276667580050046,0.9857224684495193,0.1172714078374456
2019-08-08,0.9371740084874306,0.07145275990518117,0.43775933609958506,0.025589473582488278,0.983670633540613,0.12285298398835515
2019-08-09,0.9136111089135401,0.04436411436082813,0.4272151898734177,0.027648176737110293,0.9810397624606703,0.08038106579339088
2019-08-10,0.8912663150550694,0.03134906657273688,0.3436293436293436,0.02904660940303577,0.9818961343274044,0.057456423499031635
2019-08-11,0.8889287349397988,0.03571428571428571,0.3125,0.030388084850559462,0.9848623092236231,0.0641025641025641
2019-08-12,0.8835266076360404,0.033102386451116246,0.38222222222222224,0.030801256201266895,0.983629939836109,0.06092809068366986
