date,all_auc,recall,precision,loss_average,acc_average,f1
2019-07-26,0.9547620882237889,0.1723681683347916,0.5998514667656888,0.0233832409205536,0.9744045178008917,0.26778728201047675
2019-07-27,0.9487376920336326,0.15601869887027658,0.5171078114912847,0.023925831249429787,0.9749503968253969,0.239712703875505
2019-07-28,0.9425741493836397,0.14442936830996533,0.4823766364551863,0.025767890082074696,0.9777438608776413,0.22229957071586035
2019-07-29,0.9661526952456476,0.29668152550767707,0.6454741379310345,0.02141809953749823,0.9858696354705274,0.4065151001017984
2019-07-30,0.9369306973787583,0.151558971192747,0.4041944709246902,0.02879601046273821,0.97965390625,0.22045494830132942
2019-07-31,0.938300640379961,0.1540260396915687,0.41312086794371927,0.03039120260652136,0.9742406603181247,0.22439114221260528
2019-08-01,0.9525967471774699,0.07430791646430306,0.45671641791044776,0.021569300230245614,0.9860141468452521,0.12781954887218044
2019-08-02,0.9572461512741368,0.09366391184573003,0.6118251928020566,0.02104840087006428,0.9854548137811413,0.16245733788395902
2019-08-03,0.9511638266964315,0.10790990047145102,0.513715710723192,0.020652868656448397,0.9835040557404326,0.17835497835497838
2019-08-04,0.9501490371548601,0.03779366700715015,0.48366013071895425,0.022680315622069517,0.9844999760263368,0.07010895310279487
2019-08-05,0.9300258325928606,0.1312,0.36936936936936937,0.02437908378905395,0.9860551075268817,0.19362455726092093
2019-08-06,0.9280669793473683,0.14347512617159336,0.37406015037593987,0.0272767641369291,0.9831109336982968,0.20739968733715478
2019-08-07,0.8974021166365478,0.06437425029988005,0.6052631578947368,0.030412879881563337,0.9543040008291874,0.11637152150343331
2019-08-08,0.8665588008115669,0.10749185667752444,0.3055555555555556,0.04289689401102607,0.9797900212636695,0.15903614457831328
2019-08-09,0.7947483750463448,0.058041421631296344,0.2516629711751663,0.05000770991444796,0.9823412122969838,0.0943278620403075
2019-08-10,0.8164957565889938,0.048604860486048604,0.24107142857142858,0.05020388326621545,0.9838075380067568,0.08089887640449439
