date,all_auc,recall,precision,loss_average,acc_average,f1
2019-07-26,0.9565672397464797,0.17767668353943744,0.5968146925891384,0.023112329007331987,0.9743986634588074,0.2738314680710994
2019-07-27,0.9506516745724067,0.16139783365191393,0.5109783536348824,0.02359699732523416,0.9749280455886798,0.24531148151596982
2019-07-28,0.9479535095336357,0.12987012987012986,0.45871559633027525,0.024501530561788037,0.9845320351758794,0.20242914979757085
2019-07-29,0.9511337298190146,0.18982880161127896,0.5593471810089021,0.024717474471767715,0.9803493137852813,0.28345864661654135
2019-07-30,0.9265364492472868,0.1261101243339254,0.39141983661604773,0.02975302473432138,0.9791440104166667,0.19075998681044906
2019-07-31,0.9258679415943253,0.10567965541420414,0.3697861899754644,0.027387123503392015,0.9782024082568808,0.16438142723589902
2019-08-01,0.919622269064086,0.12359550561797752,0.37535595347265793,0.03148760423299624,0.9796783151841406,0.18595920709691305
2019-08-02,0.9452424415964488,0.19791666666666666,0.5664596273291925,0.02240941304302654,0.9855012161571333,0.2933419105821808
2019-08-03,0.9516562036125669,0.09743321110529073,0.5181058495821727,0.020653666757616044,0.9835307564422278,0.164021164021164
2019-08-04,0.9319021040080296,0.1640023682652457,0.38633193863319387,0.02485752199470853,0.9826421522556391,0.23025768911055697
2019-08-05,0.954561249614769,0.012464589235127478,0.5641025641025641,0.01964786540027111,0.9856469580119965,0.024390243902439022
2019-08-06,0.8944303118067433,0.1340497737556561,0.3378474697077691,0.03052985437737855,0.9851795411900263,0.19194168860093136
2019-08-07,0.9002341449758263,0.03477218225419664,0.71900826446281,0.03040893765797323,0.9542790964171661,0.06633625619519634
2019-08-08,0.8832625275301095,0.12261380323054331,0.291958041958042,0.034335352377538396,0.9802721088435374,0.17269906928645296
2019-08-09,0.8313956125282903,0.052964426877470355,0.1976401179941003,0.0391899202693947,0.9795268223383194,0.08354114713216956
2019-08-10,0.829835261392552,0.055098163394553513,0.20763723150357996,0.0388890192641764,0.9840072605909254,0.08708708708708708
